timestamp,location_id,total_slots,available_slots,traffic_level,day_of_week,weather
2025-01-01 00:00:00,6,159,94,Low,Wednesday,Cloudy
2025-01-01 01:00:00,1,137,31,Medium,Wednesday,Rainy
2025-01-01 02:00:00,4,120,115,Low,Wednesday,Clear
2025-01-01 03:00:00,4,107,97,Medium,Wednesday,Clear
2025-01-01 04:00:00,8,90,61,Medium,Wednesday,Clear
2025-01-01 05:00:00,10,88,53,Medium,Wednesday,Cloudy
2025-01-01 06:00:00,4,193,160,Medium,Wednesday,Clear
2025-01-01 07:00:00,6,168,144,Medium,Wednesday,Clear
2025-01-01 08:00:00,3,100,53,High,Wednesday,Clear
2025-01-01 09:00:00,5,188,71,High,Wednesday,Cloudy
2025-01-01 10:00:00,8,159,89,Medium,Wednesday,Cloudy
2025-01-01 11:00:00,7,174,114,Medium,Wednesday,Rainy
2025-01-01 12:00:00,9,131,121,Medium,Wednesday,Rainy
2025-01-01 13:00:00,9,169,9,Low,Wednesday,Cloudy
2025-01-01 14:00:00,2,180,136,Low,Wednesday,Clear
2025-01-01 15:00:00,7,136,82,Medium,Wednesday,Rainy
2025-01-01 16:00:00,8,89,10,Low,Wednesday,Rainy
2025-01-01 17:00:00,8,190,141,High,Wednesday,Clear
2025-01-01 18:00:00,9,175,159,High,Wednesday,Clear
2025-01-01 19:00:00,2,115,44,High,Wednesday,Clear
2025-01-01 20:00:00,6,153,96,High,Wednesday,Clear
2025-01-01 21:00:00,10,89,70,Medium,Wednesday,Rainy
2025-01-01 22:00:00,9,96,66,Medium,Wednesday,Cloudy
2025-01-01 23:00:00,10,183,168,Medium,Wednesday,Clear
2025-01-02 00:00:00,5,93,61,Medium,Thursday,Rainy
2025-01-02 01:00:00,4,177,172,Low,Thursday,Clear
2025-01-02 02:00:00,1,192,91,Low,Thursday,Rainy
2025-01-02 03:00:00,4,120,96,Low,Thursday,Clear
2025-01-02 04:00:00,6,177,40,Low,Thursday,Cloudy
2025-01-02 05:00:00,1,191,138,Low,Thursday,Rainy
2025-01-02 06:00:00,3,133,90,Low,Thursday,Cloudy
2025-01-02 07:00:00,4,187,118,High,Thursday,Cloudy
2025-01-02 08:00:00,9,125,21,High,Thursday,Cloudy
2025-01-02 09:00:00,2,99,36,Medium,Thursday,Clear
2025-01-02 10:00:00,4,92,50,Medium,Thursday,Clear
